t,commutator_norm
3.239999999999999858e+01,1.084226730627982187e-02
3.250000000000000000e+01,8.968856951934056632e-03
3.260000000000000142e+01,7.005832743634557609e-03
3.270000000000000284e+01,4.972808570381062263e-03
3.280000000000000426e+01,2.890097737684434696e-03
3.289999999999999858e+01,7.785100037321036545e-04
3.300000000000000000e+01,1.340856344836467836e-03
3.310000000000000142e+01,3.446825300035461035e-03
3.320000000000000284e+01,5.518354716205558889e-03
3.330000000000000426e+01,7.534746556176854723e-03
3.339999999999999858e+01,9.475853699214713266e-03
3.350000000000000000e+01,1.132228124439104908e-02
3.360000000000000142e+01,1.305558029802199316e-02
3.370000000000000284e+01,1.465843230891611393e-02
3.380000000000000426e+01,1.611482210961308337e-02
3.389999999999999858e+01,1.741019793464264678e-02
3.400000000000000000e+01,1.853161681695563237e-02
3.410000000000000142e+01,1.946787390977173376e-02
3.420000000000000284e+01,2.020961444170488522e-02
3.430000000000000426e+01,2.074942718654685866e-02
3.439999999999999858e+01,2.108191851378948822e-02
3.450000000000000000e+01,2.120376627999825958e-02
3.460000000000000142e+01,2.111375302257046532e-02
3.470000000000000284e+01,2.081277812421988838e-02
3.480000000000000426e+01,2.030384882664204929e-02
3.489999999999999858e+01,1.959205018314837121e-02
3.500000000000000000e+01,1.868449425049545365e-02
3.510000000000000142e+01,1.759024902756426215e-02
3.520000000000000284e+01,1.632024785091278768e-02
3.530000000000000426e+01,1.488718015249177948e-02
3.539999999999999858e+01,1.330536467103463939e-02
3.550000000000000000e+01,1.159060638395327525e-02
3.560000000000000142e+01,9.760038589228444209e-03
3.570000000000000284e+01,7.831951715159898506e-03
3.580000000000000426e+01,5.825610568452505716e-03
3.589999999999999858e+01,3.761061846636135336e-03
3.600000000000000000e+01,1.658933838089691635e-03
3.610000000000000142e+01,4.597696889961761478e-04
3.620000000000000284e+01,2.573879349329366920e-03
3.630000000000000426e+01,4.662271658015362634e-03
3.639999999999999858e+01,6.704080089436535717e-03
3.650000000000000000e+01,8.678903568678428965e-03
3.660000000000000142e+01,1.056701031232607987e-02
3.670000000000000284e+01,1.234953498192233740e-02
3.680000000000000426e+01,1.400866718019250917e-02
3.689999999999999858e+01,1.552782940664802942e-02
3.700000000000000000e+01,1.689184269449034784e-02
3.710000000000000142e+01,1.808707827383007269e-02
3.720000000000000284e+01,1.910159374585089845e-02
3.730000000000000426e+01,1.992525240731059938e-02
3.739999999999999858e+01,2.054982453312917054e-02
3.750000000000000000e+01,2.096906960508163054e-02
3.760000000000000142e+01,2.117879866499287889e-02
3.770000000000000284e+01,2.117691616942368391e-02
3.780000000000000426e+01,2.096344092764717768e-02
3.789999999999999858e+01,2.054050591371420903e-02
3.800000000000000000e+01,1.991233695447974794e-02
3.810000000000000142e+01,1.908521050653960022e-02
3.820000000000000284e+01,1.806739094395003881e-02
3.830000000000000426e+01,1.686904798333385344e-02
3.840000000000000568e+01,1.550215507143398383e-02
3.850000000000000000e+01,1.398036975039186093e-02
3.860000000000000142e+01,1.231889719609933175e-02
3.870000000000000284e+01,1.053433829310944543e-02
3.880000000000000426e+01,8.644523764084159970e-03
3.890000000000000568e+01,6.668336011107726252e-03
3.900000000000000000e+01,4.625520448967246345e-03
3.910000000000000142e+01,2.536488215494318074e-03
3.920000000000000284e+01,4.221122302238820454e-04
3.930000000000000426e+01,1.696481360919556512e-03
