t,lie,linear,node
2.700000000000000000e+01,5.918492434560684336e-03,3.531038512504739574e-02,2.170439747292567112e-01
2.710000000000000142e+01,5.505343491749932656e-03,3.528072959678121151e-02,2.161033261446622389e-01
2.720000000000000284e+01,5.102877851631854034e-03,3.519209043559080180e-02,2.151441072107472541e-01
2.730000000000000071e+01,4.736444323336344055e-03,3.504642798369145273e-02,2.142415673704731738e-01
2.740000000000000213e+01,4.439941178682599299e-03,3.485224077913112034e-02,2.134697376436038574e-01
2.750000000000000000e+01,4.253265647918187849e-03,3.462374315283853893e-02,2.128926637095640284e-01
2.760000000000000142e+01,4.213689569035510181e-03,3.437938461039982685e-02,2.125563331707233106e-01
2.770000000000000284e+01,4.342416040185952640e-03,3.413980942676109187e-02,2.124824582134857143e-01
2.780000000000000071e+01,4.635284155953203408e-03,3.392543440775225988e-02,2.126650927629450127e-01
2.790000000000000213e+01,5.065881074725143984e-03,3.375391515297287981e-02,2.130706682380850980e-01
2.800000000000000000e+01,5.597098331697380504e-03,3.363784928459591372e-02,2.136414870658653598e-01
2.810000000000000142e+01,6.191327172490586860e-03,3.358308788924982413e-02,2.143021464678959154e-01
2.820000000000000284e+01,6.815291855382218413e-03,3.358796112427724079e-02,2.149679189334038065e-01
2.830000000000000071e+01,7.441052745483935950e-03,3.364356782600376461e-02,2.155538892432669884e-01
2.840000000000000213e+01,8.045482898346435069e-03,3.373507275108533765e-02,2.159836611962304420e-01
2.850000000000000000e+01,8.609474865073730304e-03,3.384376606291183975e-02,2.161966496841483676e-01
2.860000000000000142e+01,9.117304502228973373e-03,3.394952645282288406e-02,2.161532790808130822e-01
2.870000000000000284e+01,9.556215012525211619e-03,3.403331251766279764e-02,2.158377336526416113e-01
2.880000000000000071e+01,9.916174122890921219e-03,3.407936647101193761e-02,2.152581937670655921e-01
2.890000000000000213e+01,1.018974218354433935e-02,3.407690944763607649e-02,2.144447201984276963e-01
